@rowCount	2000
matelamidura	gardening	SU
matelik	gardener	SU
mawazanisikya	maid	SU
mayakaf	dismal	AQ
mazdaf	gaunt	AQ
me	no	AV
mea	no longer	AV
meabdiwis	unsuspected	PA
mearapenis	changeless	PA
mebast	hurdle	SU
mecoba	not an ace	PN
mecta	hysteria	SU
mectaf	hysterical	AQ
medolaf	rude	AQ
medotolmilaf	asymmetric	AQ
medra	balm	SU
medrega	pomade	SU
meenide	for no reason	AV
meetrakason	no doubt	AV
mefavlaf	useless	AQ
megol	whale	SU
megrupen	stranger	PA
megrupes	unknown	PA
megunaf	guiltless	AQ
meilkaf	impersonal	AQ
meinde	by no means	AV
mejé	accept	VI
mekalvekaf	poor	AQ
mekeyen	abrupt	PA
mekotunaf	defective	AQ
melanaf	doubtful	AQ
meld	blow	SU
meliz	nowhere	AV
meok	district	SU
merikol	otter	SU
merna	cushion	SU
merodojenias	incompatible	PA
merontif	indirect	AQ
meropatan	countless	PA
meropatavan	inmeasurable	PA
merotis	impossible	PA
merotisaca	impossibility	SU
merotisuca	impossibility	SU
merowin	invisible	PA
meruptes	independent	PA
mestá	commute	VT
mestasiko	switch	SU
metageltaf	incorrect	AQ
metageltuca	inaccuracy	SU
metamaf	discordant	AQ
metan	neither	PN
metegiruca	inactivity	SU
meú	deny	VT
meviele	never	AV
mevtava	mountain	SU
mevtuti	mountaineering	SU
mevtutiusik	alpinist	SU
mewaya	ankle	SU
mewison	blindly	AV
mexeyuca	absurdity	SU
mhelga	hammer	SU
mhetc	temple	SU
mhetca	magnifying-glass	SU
mheza	parquet	SU
mhot	fur	SU
mhoté	push along	VT
miafiz	midday	SU
miafizestura	dine	SU
miala	half	SU
mialaf	half	AQ
mialodaf	impartial	AQ
mialpa	hub	SU
mialuk	average	SU
mialukaf	average	AQ
miazilí	borrow	VT
mical	ant	SU
micalxo	ant-hill	SU
mil	same	AI
milaskí	imitate	VT
mildaf	tender	AQ
milduca	tenderness	SU
milé	stagnate	VI
mileniltik	fellow-thinker	SU
milexavik	colleague	SU
milgaf	dainty	AQ
milgemelton	at the same time	AV
milgik	adult	SU
milk	troop	SU
milka	casserole	SU
milkaf	identical	AQ
milkava	flock	SU
milklaaf	of the same age	AQ
milmura	advertisement	SU
milon	equally	AV
milost	saddle	SU
miltaf	equal	AQ
miltay	equation	SU
milunt	barrel	SU
milvodaf	equivalent	AQ
mimadjo	missile	SU
min	we	PN
minia	belief	SU
minsa	violet	SU
mintila	attic	SU
mirn	satin	SU
mit	crust	SU
mivaskaf	automatic	AQ
mivaskik	automoton	SU
mivexuca	autarchy	SU
mivirubaf	indigenous	AQ
mivokaf	spontaneous	AQ
mivtanizva	autobiography	SU
mivtanizvaf	autobiographical	AQ
miwá	mention	VT
mo	at	PP
moblisik	survivor	SU
mocoé	bilk	VT
modemá	hook	VT
modera	sleep	SU
modivatcesiki	cover	SU
mokina	glycerine	SU
mola	appetite	SU
molikera	affront	SU
molt	harbour	SU
momimá	project	VT
mona	house	SU
monaf	domestic	AQ
monaja	barrack	SU
monaxo	town	SU
monif	close	AQ
mopoyé	break into	VT
moraf	modest	AQ
morbé	bet	VT
moruca	modesty	SU
morumká	postpone	VT
motc	quarrel	SU
motcá	quarrel	VT
motidá	go beyond	VT
mou	bosom	PP
mouak	bra	SU
mouk	breast	SU
moukdunol	mammal	SU
moukot	nipple	SU
mouvo	udder	SU
movera	confession	SU
movura	acknowledgement	SU
moxinaf	baleful	AQ
mu	because of	PP
mubé	select	VT
mucú	contort	VT
muge	adverb	SU
mugef	adverbial	AQ
muka	article	SU
mukodaf	objective	AQ
mukodakiraf	transitive	AQ
mukot	objective	SU
muktu	bucket	SU
mulaf	thoroughgoing	AQ
muson	safely	AV
mustaf	bleak	AQ
mustok	lily-of-the-valley	SU
musuca	safety	SU
mutoza	chive	SU
muva	rain	SU
muvar	rain	VZ
muvuda	jonquil	SU
muvugal	autumn	SU
muvugalaf	autumn	AQ
muxelk	altar	SU
mwa	law	SU
mwedaf	legal	AQ
mweluca	legality	SU
naav	peg	SU
naavá	connect	VT
naavdá	succeed	VT
naavdara	success	SU
nabé	peel	VT
nabinel	sodium	SU
naboxa	grave	SU
naca	kind turn	SU
nael	pole	SU
nafalaf	sovereign	AQ
nafalik	sovereign	AQ
nak	hay	SU
nakera	torture	SU
nakila	scene	SU
nalenaf	accepted	AQ
nalesik	acceptor	SU
namhé	provide	VT
nami	memory	SU
namion	by heart	AV
namulol	sheep	SU
namulolié	bleat	VI
namuloloc	lamb	SU
namulolye	ram	SU
nanda	compass	SU
napleka	whitebeam berry	SU
naplekaal	whitebeam	SU
narí	lay hold of	VT
nasbukaf	fertile	AQ
naskoya	zinnia	SU
nasta	gene	SU
naviulaal	elm	SU
neciaf	dainty	AQ
neda	committee	SU
nedel	aluminium	SU
nedí	show	VT
nedoy	naught	AN
neel	neon	SU
nefadik	clown	SU
nefta	fly	SU
nega	narrative	SU
negá	recite	VT
negova	crocodile	SU
negruya	cucumber	SU
nekev	despite	PP
nelkaf	chief	AQ
nelkon	chiefly	AV
nelkot	principle	SU
nemon	accurately	AV
nendá	guard	VT
nendara	protection	SU
nendas	protectionist	PA
nendasik	patron	SU
nendoyé	guard	VT
nendoyesiki	preservative	SU
nerla	trump	SU
nesá	court	VT
nesida	phase	SU
nesuk	vest	SU
neuzé	stammer	VI
neva	book	SU
nevaxe	bookcase	SU
nevonha	bookshop	SU
nevonhik	bookseller	SU
nevoyol	chamois	SU
nexa	bacterium	SU
nexaf	bacterial	AQ
nexatorik	bacteriophage	SU
nexopa	bacteriology	SU
nexopaf	bacteriological	AQ
nexopik	bacteriologist	SU
nhela	helium	SU
nhelik	champion	AQ
nhobrik	widower	AQ
nhobrikya	widow	SU
nhonda	apron	SU
nhorku	onion	SU
nhoxa	moustache	SU
nhukuca	cowardice	SU
nia	direction	SU
niaaf	ungrateful	AQ
niauca	ingratitude	SU
nida	quicksilver	SU
nik	friend	SU
nikya	friend	SU
nilaf	narrow	AQ
nimat	leg	SU
nimatek	ham	SU
nios	script	SU
nirá	polish	VT
niranaf	courteous	AQ
nisay	abscissa	SU
niska	bone	SU
niskaf	bony	AQ
nitca	quail	SU
nité	consist	VT
niusté	jest	VI
niustera	gag	SU
noaf	intense	AQ
nobá	interact	VT
nobaf	frequent	AQ
noca	rectum	SU
nodek	alfenide	SU
noelaca	topic	SU
noelaceem	news	SU
noelaf	current	AQ
noelkeon	at present	AV
noelon	currently	AV
noeltaf	fresh	AQ
noelton	recently	AV
noeluca	topicality	SU
nogla	nerve	SU
noglotaf	nervous	AQ
nok	band	SU
nolié	jingle	VI
nom	dusk	SU
nomarna	dahlia	SU
nomist	tyre	SU
non	friendly	AV
nopalol	jackal	SU
norisk	mast	SU
norka	brick	SU
norluca	genius	SU
nostá	project	VT
notaf	friendly	AQ
nouli	needle	SU
nové	allow	VT
novera	permission	SU
noyelt	raquet	SU
nuba	hand	SU
nubá	handle	VT
nubacek	grip	SU
nubagí	clutch	VT
nubakobaxo	workshop	SU
nubalicara	handshake	SU
nubaroperopa	surgery	SU
nubask	wrist	SU
nubedaf	manual	AQ
nubedik	manual	AQ
nubelt	sleeve	SU
nubok	fist	SU
nubutiú	box	VI
nuca	friendship	SU
nudama	alley	SU
nudol	duck	SU
nuga	foot	SU
nugapé	trample on	VT
nugaviputi	football	SU
nugavlak	stepladder	SU
nugé	tease	VT
nugervolia	infantry	SU
nugetc	pedal	SU
nujna	brush	SU
nuka	exercise-book	SU
nula	brimstone	SU
nurgey	shank	SU
nustaf	stringent	AQ
nutik	nephew	SU
nutikya	niece	SU
oblay	pole	SU
obleda	barricade	SU
obledá	barricade	VT
obras	alert	PA
obrason	attentively	AV
odiakuca	confidence	SU
oga	abode	SU
ogalt	pencil	SU
ogluk	core	SU
oglukaf	nuclear	AQ
ogolé	refuse	VT
ok	or	CJ
okildirem	ambulance	SU
okilik	boss	SU
okollakí	ride	VI
okolya	mare	SU
oksi	fabric	SU
oksif	text	SU
olaxa	tobacco	SU
olda	lyc#e	SU
olerd	pollen	SU
olgaf	hard	AQ
olgalicú	conquer	VT
olgalicura	invasion	SU
olha	spoke	SU
olhak	radio	SU
olhasté	torment	VT
olhastera	torment	SU
olhavesiko	radiator	SU
olhub	barley	SU
olitc	gun-carriage	SU
olkik	chap	SU
olkotca	bit	SU
olkxo	barn	SU
oltavik	fellow-creature	SU
oluaf	aristocratic	AQ
oluik	aristocrat	SU
oluikeem	aristocracy	SU
oluikya	dame	SU
olutaf	illiterate	AQ
olutik	illiterate	AQ
olvezá	rake	VT
oná	fish	VT
onasik	fisherman	SU
onká	chase	VT
onotca	hail	SU
ont	that is	CJ
ontinaf	noble	AQ
ontinaxaf	proud	AQ
ontinaxon	proudly	AV
ontine	peak	SU
ontinuca	altitude	SU
ontinuk	altitude	SU
ontinuksabesiki	altimeter	SU
opa	science	SU
opabloska	acute accent	SU
opaf	acute	AQ
opagaf	sibilant	AQ
opelaf	simple	AQ
opelkaf	na#f	AQ
opelon	just	AV
opeluca	simplicity	SU
opik	scientist	SU
opra	ice	SU
oral	beak	SU
orara	high tide	SU
ord	type	SU
ordaf	typical	AQ
orek	oyster	SU
oria	skull	SU
orikaf	desolate	AQ
ormuks	witticism	SU
ormus	lively	PA
orna	pylon	SU
orpa	custom	SU
ors	anagram	SU
ortlik	devil	SU
oruga	stamen	SU
osta	affix	SU
ostik	besides	AV
ota	number	SU
ovopaf	logical	AQ
ox	oh	IJ
oxaf	cynical	AQ
oxam	exclusively	AV
oxi	gender	SU
oxila	generation	SU
oy	bonus	SU
ozé	protect	VT
ozwá	quote	VT
ozwaks	quotation	SU
paedá	pad	VT
paelpá	sweat	VI
pailtaal	fir	SU
pailtega	cone	SU
pailtegaal	pine	SU
pakera	share	SU
pako	faction	SU
pakof	partisan	AQ
pakon	partially	AV
pakt	part	SU
pakudara	dues	SU
paldel	palladium	SU
palik	buddy	SU
palsotikeem	judiciary	SU
pand	lower-arm	SU
papik	pope	SU
partik	pastor	SU
parvuuca	cleanliness	SU
pastá	seesaw	VT
pasú	belong	VT
pata	account	SU
patá	calculate	VT
patasiko	meter	SU
patcta	country	SU
patctoy	landscape	SU
pauray	eyelash	SU
pawé	be indignant	VI
pebú	explain	VT
pegaf	greedy	AQ
pegon	eagerly	AV
peguca	avidity	SU
pelaf	incidental	AQ
perdoé	dip	VT
pereaksat	July	SU
perfejul	shoe	SU
permaxe	embassy	SU
permik	ambassador	SU
permikeba	embassy	SU
permú	acclaim	VT
peroda	cassette	SU
peroy	seven	AN
persaal	oak	SU
pertor	armour	SU
perzuca	commotion	SU
peyak	farm	SU
peyara	club	SU
pez	nose	SU
pezay	snout	SU
pezta	sense	SU
peztaka	feel	SU
peztakevaf	romantic	AQ
peztalé	feel	VT
peztalí	give off an odour	VT
peztoraf	sagacious	AQ
pí	come	VI
piaal	palm	SU
piako	velvet	SU
pida	gill	SU
pij	ceiling	SU
pikay	sill	SU
pilkaf	own	AQ
pilkon	personally	AV
pilkot	ownership	SU
pilkotik	farmer	SU
pilkovaf	apart	AQ
pilkovon	also	AV
pilkovoy	attribute	SU
piluda	beach	SU
pimtara	description	SU
pinaf	little	AQ
pinapaf	lowercase	AQ
pinepuca	minority	SU
pinga	flea	SU
pinta	detail	SU
pintik	baby	AQ
piod	tripe	SU
pira	advent	SU
piute	mail	SU
piutef	postal	AQ
piutefoxiega	money order	SU
piutegwilt	postal rates	SU
piuteliwa	postcard	SU
piutexe	post-office	SU
plabaf	adverse	AQ
plastuba	daisy	SU
plataé	spur	VT
plataera	impetus	SU
plataes	evocative	PA
platí	push	VT
plaxaf	supple	AQ
play	post	SU
plé	draw out	VT
plekú	insert	VT
pliera	amenity	SU
plinaf	agreeable	AQ
plinon	agreeably	AV
plinuca	pleasantness	SU
plivol	python	SU
plo	pipe	SU
ploda	table-cloth	SU
plor	corridor	SU
ploté	brandish	VT
ploz	wrinkle	SU
plozá	furrow	VT
po	force	SU
poá	cultivate	VT
poaf	dynamic	AQ
pobaxá	abuse	VT
poegol	hedgehog	SU
pofera	administration	SU
pofesik	manager	SU
pojá	delight in	VT
pok	nearby	PP
pokeon	close	AV
pokeyaf	adjacent	AQ
ponara	composition	SU
ponhacka	niche	SU
ponkik	follower	AQ
poon	strongly	AV
poopa	mechanics	SU
poopik	mechanic	SU
porá	honour	VT
poraf	honourable	AQ
porfeon	consequently	AV
poriol	penguin	SU
portaf	distressing	AQ
porton	painfully	AV
poruca	honour	SU
poz	ball	SU
pozla	plate	SU
pragá	rub	VT
pragucara	abrasion	SU
pragucas	abrasive	PA
prantaf	firm	AQ
pratcol	llama	SU
praxa	hormone	SU
preima	lawn	SU
prejá	murmur	VT
preksaf	normal	AQ
preksayaf	normative	SU
pretcaal	poplar	SU
preyutá	conceal	VT
pridú	circulate	VI
pridura	circulation	SU
prijust	jaw	SU
prilara	account	SU
prioka	heath	SU
prolk	standard	SU
prostelay	dynasty	SU
prostelayaf	dynastic	AQ
prostewa	tradition	SU
puida	vexation	SU
puilé	quilt	VT
puiles	sharp	SU
puilesiki	sting	SU
pujé	float	VI
puk	dogma	SU
pula	class	SU
puloda	parliament	SU
pulotaf	classic	AQ
pultel	plutonium	SU
pulva	speech	SU
pulvaf	oral	AQ
pulveka	expression	SU
pulví	speak	VI
pulviropa	grammar	SU
pulvisik	orator	SU
pumá	wet	VT
pumake	rosemary	SU
pumkik	angel	SU
punta	oil	SU
purda	allegory	SU
purdaf	allegoric	AQ
purga	bribery	SU
puron	genuinely	AV
pursara	sanction	SU
puruca	sincerity	SU
pustayan	roasted	PA
putc	vertebra	SU
putcé	spit	VT
putcol	antelope	SU
puve	fun	SU
puvé	please	VT
puxima	rape	SU
puze	menstruation	SU
puzitá	sneeze	VI
ra	element	SU
raba	industry	SU
rabaf	industrial	AQ
rabandé	equip	VT
rabaté	ascertain	VT
rabik	industrialist	SU
radá	assimilate	VT
radimif	following	AQ
radimiik	offspring	SU
radimlaní	travel	VT
ralaku	beam	SU
ralk	swelling	SU
ralkkiraf	hunch-backed	AQ
ralkkirik	hunchback	SU
ralom	ghetto	SU
ralpa	glass	SU
ralpoda	showcase	SU
ralta	rose	SU
raltukaf	pink	AQ
ramba	monsoon	SU
rambik	admiral	AQ
raneta	cherry	SU
ranetaal	cherry-tree	SU
ranhé	stand	VI
rantaf	breakable	AQ
rapalaf	compatible	AQ
rapaluca	compliance	SU
rape	in accordance with	PP
rapor	stone	SU
raporka	boulder	SU
rasek	tower	SU
rast	margin	SU
rastaf	marginal	AQ
rastoka	cabinet	SU
rav	average	SU
ravaldá	insure	VT
ravaldasik	insurer	SU
ravalduga	by-laws	SU
ravaldunaf	certain	AQ
ravé	teach	VT
ravlem	word	SU
ravlemak	dictionary	SU
ravlemeem	vocabulary	SU
ravlemolkaf	radical	AQ
rayoligá	perish	VI
razama	crow	SU
razamié	caw	VI
razdá	develop	VT
razeka	plate	SU
razopa	chemistry	SU
razopik	chemist	SU
rea	agglomeration	SU
rebava	wall	SU
recela	stage	SU
redakik	captain	SU
redú	create	VT
reduraf	creative	AQ
redusik	creator	SU
refema	strap	SU
regala	incident	SU
regelta	flour	SU
regrá	trace	VT
regvel	arabesque	SU
reila	high school	SU
rekleda	casserole	SU
rekodaf	sophisticated	AQ
rekola	period	SU
rekolaca	periodical	SU
rekolaf	periodical	AQ
relandé	amuse	VT
relandera	amusement	SU
relatcesik	agitator	SU
relida	pyramid	SU
relingá	commit aggression	VT
relingara	aggression	SU
relingas	aggressive	PA
relingasik	aggressor	SU
relkaca	abhorrence	SU
relmé	betray	VT
relt	muscle	SU
relvá	delete	VT
rem	through	PP
remafif	clear	AQ
remalt	course	SU
remay	weft	SU
remayé	weave	VT
remburé	transport	VT
remel	bromine	SU
remrú	punch	VT
remsuté	translate	VT
remzilira	delivery	SU
rena	love	SU
rená	love	VT
renarú	make love	VI
renas	lover	PA
rendaf	draught	AQ
renta	carpentry	SU
repalé	sigh	VI
repalera	sigh	SU
rera	diagnosis	SU
restali	maxim	SU
retalk	stallion	SU
retik	candidate	AQ
revava	district	SU
reya	blackberry	SU
reyaal	mulberry-tree	SU
reza	beet	SU
rezold	radish	SU
riaf	precious	AQ
riba	cage	SU
ribasusik	goalkeeper	SU
ribiegaf	wonderful	AQ
ribiegon	marvellously	AV
ribuda	cobra	SU
ric	rye	SU
ricol	shark	SU
ricom	spring-mattress	SU
rictá	authorize	VT
rictara	authorization	SU
rictela	authority	SU
rictulokaf	authoritative	AQ
riduratwa	dunning-letter	SU
rielcek	morning	SU
rient	saucer	SU
rieta	idea	SU
rietava	ideal	SU
rietavaf	ideal	AQ
rietova	theory	SU
rietunuca	utopia	SU
rifta	louse	SU
rigavá	erect	VT
rigotaf	fundamental	AQ
rija	pants	SU
rijn	rostrum	SU
rijust	steppe	SU
ringaf	transparant	AQ
rinta	caprice	SU
rinú	thee and thou	VT
rion	seldom	AV
riozaf	nasty	AQ
riozuca	aversion	SU
ripindara	craziness	SU
riska	delta	SU
ristara	tightness of the chest	SU
ristura	administration	SU
risturaf	administrative	AQ
ristusik	administrator	SU
risu	amulet	SU
riulk	Rhine barge	SU
riva	circus	SU
rivla	narcissus	SU
riwe	almost	AV
riwé	be worthy of	VT
riwera	merit	SU
rixeda	tangerine	SU
riz	lung	SU
roatalera	alteration	SU
rob	livelihood	SU
robuda	aureole	SU
roda	chain	SU
rodaf	dry	AQ
rodaxá	distrust	VT
rodaxas	suspicious	PA
rodaxasuca	suspicion	SU
rodj	chess	SU
rodjgá	look askance	VI
rodosten	acceptable	PA
rofavé	overtax	VT
rofavera	abuse	SU
rofaves	erroneous	PA
rofaveson	by mistake	AV
roga	jewel	SU
rogadolesik	jeweller	SU
rogdala	slate	SU
rogilden	audible	PA
roida	splinter	SU
rojú	defend	VT
rojuiken	recommendable	PA
rojula	apology	SU
rojusik	defender	SU
roka	law	SU
rolustes	solvent	PA
rom	orgasm	SU
ronalen	acceptable	PA
rondara	drumming	SU
ronduza	basil	SU
ronef	right	AQ
roneka	east	SU
roneon	on the right	AV
ronkaf	faithful	AQ
rontaf	direct	AQ
rontagentim	rectangle	SU
rontagentimaf	right-angle	SU
rontion	directly	AV
ropé	attend	VT
ropes	careful	PA
ropesik	nurse	SU
ropexe	hospital	SU
ropojaf	confrontational	AQ
roseotan	obtainable	PA
rostaza	monster	SU
rostela	vegetable	SU
rostinttwa	credentials	SU
rotabdiwis	foreseeable	PA
rotaca	bad	SU
rotaf	bad	AQ
rotapstá	curse	VT
rotarapenis	reconcilable	PA
rotatrakus	pessimist	PA
rotatrakusuca	pessimism	SU
roti	be able to	SU
rotir	maybe	AV
rotis	possible	PA
rotoda	inconvenience	SU
roton	badly	AV
rotulis	drinkable	PA
rotuxá	lie	VI
rotuxara	lie	SU
rotuxas	mendacious	PA
rotuxasik	liar	SU
rovansas	accessible	PA
rovidaf	frolic	AQ
roxanhá	chew	VT
rubdá	appeal to	VT
rubiá	print	VT
rubiasik	printer	SU
rubiaxe	printing office	SU
rubixa	drizzle	SU
rucá	file	VT
rucasiki	file	SU
